Date time,Home (kW),Solar (kW),Powerwall (kW),Grid (kW)
2019-08-08T00:00:00.000-04:00,0.2,0,0,0.2
2019-08-08T00:05:00.000-04:00,0.2,0,0,0.2
2019-08-08T00:10:00.000-04:00,0.2,0,0,0.2
2019-08-08T00:15:00.000-04:00,0.2,0,0,0.2
2019-08-08T00:20:00.000-04:00,0.2,0,0,0.2
2019-08-08T00:25:00.000-04:00,0.2,0,0,0.2
2019-08-08T00:30:00.000-04:00,0.2,0,0,0.2
2019-08-08T00:35:00.000-04:00,0.4,0,0,0.4
2019-08-08T00:40:00.000-04:00,0.5,0,0,0.5
2019-08-08T00:45:00.000-04:00,0.5,0,0,0.5
2019-08-08T00:50:00.000-04:00,0.5,0,0,0.5
2019-08-08T00:55:00.000-04:00,0.4,0,0,0.4
2019-08-08T01:00:00.000-04:00,0,0,0,0
2019-08-08T01:05:00.000-04:00,0,0,0,0
2019-08-08T01:10:00.000-04:00,0,0,0,0
2019-08-08T01:15:00.000-04:00,0,0,0,0
2019-08-08T01:20:00.000-04:00,0.2,0,0,0.2
2019-08-08T01:25:00.000-04:00,0.2,0,0,0.2
2019-08-08T01:30:00.000-04:00,0.2,0,0,0.2
2019-08-08T01:35:00.000-04:00,0.2,0,0,0.2
2019-08-08T01:40:00.000-04:00,0.2,0,0,0.2
2019-08-08T01:45:00.000-04:00,0.2,0,0,0.2
2019-08-08T01:50:00.000-04:00,0.2,0,0,0.2
2019-08-08T01:55:00.000-04:00,0.2,0,0,0.2
2019-08-08T02:00:00.000-04:00,0.2,0,0,0.2
2019-08-08T02:05:00.000-04:00,0.2,0,0,0.2
2019-08-08T02:10:00.000-04:00,0.2,0,0,0.2
2019-08-08T02:15:00.000-04:00,0.2,0,0,0.2
2019-08-08T02:20:00.000-04:00,0.2,0,0,0.2
2019-08-08T02:25:00.000-04:00,0.2,0,0,0.2
2019-08-08T02:30:00.000-04:00,0.2,0,0,0.2
2019-08-08T02:35:00.000-04:00,0.2,0,0,0.2
2019-08-08T02:40:00.000-04:00,0.2,0,0,0.2
2019-08-08T02:45:00.000-04:00,0.2,0,0,0.2
2019-08-08T02:50:00.000-04:00,0.2,0,0,0.2
2019-08-08T02:55:00.000-04:00,0.2,0,0,0.2
2019-08-08T03:00:00.000-04:00,0.2,0,0,0.2
2019-08-08T03:05:00.000-04:00,0.2,0,0,0.2
2019-08-08T03:10:00.000-04:00,0.2,0,0,0.2
2019-08-08T03:15:00.000-04:00,0.2,0,0,0.2
2019-08-08T03:20:00.000-04:00,0.2,0,0,0.2
2019-08-08T03:25:00.000-04:00,0.2,0,0,0.2
2019-08-08T03:30:00.000-04:00,0.2,0,0,0.2
2019-08-08T03:35:00.000-04:00,0.2,0,0,0.2
2019-08-08T03:40:00.000-04:00,0.2,0,0,0.2
2019-08-08T03:45:00.000-04:00,0.2,0,0,0.2
2019-08-08T03:50:00.000-04:00,0.2,0,0,0.2
2019-08-08T03:55:00.000-04:00,0.2,0,0,0.2
2019-08-08T04:00:00.000-04:00,0.2,0,0,0.2
2019-08-08T04:05:00.000-04:00,0.2,0,0,0.2
2019-08-08T04:10:00.000-04:00,0.2,0,0,0.2
2019-08-08T04:15:00.000-04:00,0.2,0,0,0.2
2019-08-08T04:20:00.000-04:00,0.2,0,0,0.2
2019-08-08T04:25:00.000-04:00,0.2,0,0,0.2
2019-08-08T04:30:00.000-04:00,0.2,0,0,0.2
2019-08-08T04:35:00.000-04:00,0.2,0,0,0.2
2019-08-08T04:40:00.000-04:00,0.2,0,0,0.2
2019-08-08T04:45:00.000-04:00,0.2,0,0,0.2
